date,snow_depth_m
1970-11-05,0
1970-11-12,0.1
1970-11-21,0.15
1970-11-22,0.19
1970-11-27,0.17
1970-11-30,0.27
1970-12-02,0.25
1970-12-04,0.27
1970-12-05,0.26
1970-12-06,0.25
1970-12-07,0.26
1970-12-08,0.26
1970-12-09,0.25
1970-12-10,0.25
1970-12-11,0.25
1970-12-12,0.26
1970-12-22,0.22
1970-12-23,0.22
1970-12-24,0.22
1970-12-25,0.24
1970-12-26,0.24
1970-12-27,0.24
1970-12-28,0.24
1970-12-29,0.24
1970-12-30,0.22
1970-12-31,0.18
1971-01-01,0.17
1971-01-02,0.23
1971-01-09,0.5
1971-01-10,0.5
1971-01-11,0.53
1971-01-12,0.48
1971-01-13,0.4
1971-01-17,0.36
1971-01-22,0.69
1971-01-23,0.62
1971-01-29,0.72
1971-02-02,0.95
1971-02-10,1.73
1971-02-15,1.76
1971-02-26,2.18
1971-03-02,2.22
1971-03-06,2.13
1971-03-08,2.11
1971-03-09,2.12
1971-03-10,2.11
1971-03-11,2.09
1971-03-12,2.08
1971-03-13,2.08
1971-03-14,2.07
1971-03-15,2.08
1971-03-17,2.12
1971-03-18,2.19
1971-03-21,2.11
1971-03-24,2.1
1971-03-27,1.89
1971-03-30,1.92
1971-04-03,1.9
1971-04-06,1.95
1971-04-09,1.94
1971-04-12,2
1971-04-15,1.9
1971-04-18,1.84
1971-04-21,1.75
1971-04-24,1.69
1971-04-27,1.64
1971-04-30,1.64
1971-05-03,1.58
1971-05-06,1.52
1971-05-09,1.43
1971-05-12,1.42
1971-05-15,1.37
1971-05-18,1.26
1971-05-21,1.11
1971-05-24,0.92
1971-05-27,0.75
1971-05-30,0.55
1971-06-03,0.35
1971-06-06,0.21
1971-06-09,0
